objid,ra,dec,u,g,r,i,z,run,camcol,field,score,clean,class,redshift,mjd,rowv,colv
1237648722306924571,185.5744857,0.701402405,19.11034,17.62099,17.03464,16.82993,16.71711,756,5,466,0.8641446,1,STAR,8.780529e-05,54140,0.002417854,0.001363113
1237648720167436418,203.8018409,-0.853906017,18.90957,17.6294,17.01465,16.62059,16.35239,756,1,588,0.816541,1,GALAXY,0.08619995,51955,0.00864956,0.007055704
1237648720685105352,160.0342636,-0.421625751,19.2634,17.67693,16.82551,16.42307,16.13864,756,2,295,0.870381,1,GALAXY,0.1330486,51913,0.003937531,-0.00202776
1237648703510937836,200.8073731,-0.682024498,18.82022,17.77765,17.38575,17.11128,16.9354,752,2,382,0.8678011,1,GALAXY,0.08636355,51959,0.0018389,0.001160008
1237648720161275992,189.7924038,-1.001480273,18.91391,19.05355,19.46278,19.7566,20.09613,756,1,494,0.8338245,1,STAR,-4.09e-08,54562,0.001929268,-0.000464829
1237648720132178408,123.386052,-1.045499268,18.52214,17.45173,17.23112,17.16427,17.13214,756,1,50,0.8514174,1,STAR,1.19044e-05,53816,-0.002164597,-0.000364223
1237648720165863598,200.2437279,-0.895930737,18.09523,16.82764,16.18942,15.83503,15.58671,756,1,564,0.8152946,0,GALAXY,0.04815651,51984,-0.01160999,0.002360815
1237648704054624442,216.2566612,-0.220798957,19.20765,18.73173,18.84302,18.98353,19.15128,752,3,486,0.8040864,1,STAR,-0.000223421,51613,-0.002152818,-0.001025839
1237648722308890870,190.0508466,0.695671846,17.82951,15.90091,15.02515,14.61881,14.30353,756,5,496,0.8228984,1,GALAXY,0.04634102,51941,-0.000474302,-0.001548418
1237648720163963081,195.9519901,-0.966004747,17.76132,16.51327,15.89811,15.53069,15.31236,756,1,535,0.8113358,1,GALAXY,0.08944633,51986,0.000893583,0.001024402
1237648722831409163,157.2646864,1.16968743,16.29776,15.26695,15.0939,15.05828,15.10017,756,6,277,0.849116,1,STAR,1.214256e-05,51957,0.000142633,-8.81e-05
1237648721754914875,151.0119298,0.343697172,19.00329,17.36013,16.67788,16.41988,16.27547,756,4,235,0.8899828,0,STAR,-8.14e-05,54479,0.004331653,0.003924309
1237648702972887329,198.0937569,-1.206233754,19.5478,18.23257,17.61664,17.23762,17.07785,752,1,364,0.8485536,1,GALAXY,0.08769291,51985,-0.003663062,0.01037706
1237646586639089979,87.07052602,-0.189387405,18.29707,19.05436,17.86311,18.62256,17.6707,259,3,537,0.8984517,0,GALAXY,0.1815861,56658,-0.003950789,0.01923495
1237648705678213667,245.9430696,0.887752036,19.07316,17.33798,16.44005,15.89485,15.53507,752,6,684,0.8519949,1,QSO,0.056787,52000,0.000309182,-0.002254646
1237648720163766426,195.4298249,-0.902508952,19.23652,17.26917,16.31187,15.90075,15.57505,756,1,532,0.8029205,1,GALAXY,0.08523802,51689,-0.000544515,-0.002560935
1237648721754128529,149.2141666,0.208799417,17.70363,15.68413,14.75272,14.29722,13.95347,756,4,223,0.877529,1,GALAXY,0.0650453,51633,-0.000342368,-0.004291164
1237648703513821249,207.3929659,-0.684141388,18.11682,17.77947,17.87333,17.7141,17.67043,752,2,426,0.9167945,1,QSO,0.5148025,51943,-0.00138927,0.002196442
1237648722833833992,162.7797128,1.095266744,19.18994,18.01201,17.46605,17.25548,17.11444,756,6,314,0.8459709,1,S,0.000364851,54208,-0.000241576,-0.00025236
1237648721789780163,230.5897937,0.332403524,19.44441,18.16818,17.62407,17.25104,17.09154,756,4,767,0.872553,1,GALAXY,0.1253832,51673,-0.01410402,-0.000546463
1237648720161210403,189.6137586,-0.901576965,18.93525,17.40491,16.86003,16.65816,16.56775,756,1,493,0.83514,1,STAR,-8.05e-05,54567,-0.00202954,0.000450225
1237648720165404749,199.2204356,-0.909190466,17.96772,17.01517,16.77084,16.66756,16.65791,756,1,557,0.8378421,1,STAR,0.000363073,54970,0.000903092,-0.001134845
1237648721757864179,157.7616765,0.390282488,18.94695,17.51568,16.80462,16.37475,16.06501,756,4,280,0.8957288,1,GALAXY,0.09711879,51957,5.238975e-05,0.001901713
1237648703510282290,199.2850282,-0.777091854,17.24544,16.12872,16.17245,16.23912,16.29791,752,2,372,0.8298559,1,STAR,0.000168985,54970,0.000431659,-0.003965986
1237648703510216786,199.1277421,-0.765351028,17.68675,16.4453,16.00829,15.84068,15.77711,752,2,371,0.836858,1,STAR,7.789464e-05,56727,0.000313656,0.002199827
1237648705678738089,247.17698,1.056165679,19.41335,18.36554,18.08077,17.98518,17.9643,752,6,692,0.8472691,1,STAR,-0.000339562,52000,0.001098261,0.001671959
1237646381542998673,95.38906714,0.578667738,19.26527,17.52949,17.07929,16.89643,16.70403,211,5,363,0.8313844,1,STAR,0.000154012,52931,0.001551122,-0.001644898
