ID;SALDO;F_SALDO;COMPRAS;COMPRAS_PUNTUALES;COMPRAS_PLAZOS;AVANCE_EFECTIVO;F_COMPRAS;F_COMPRAS_PUNTUALES;F_COMPRAS_PLAZOS;F_AVANCE_EFECTIVO;P_AVANCE_EFECTIVO;P_COMPRAS;LÍMITE_CREDITO;PAGOS;PAGOS_MINIMOS;F_PAGOS_COMPLETOS;MESES_CLIENTE
C10001;5323.148883;0.250692707;26344.0722;38237.44252;3727.113162;15708.23968;0.496535855;0.464442158;0.821610917;0.194501644;100;77;16819.48004;21337.02746;39452.95812;0.817906647;7
C10002;12726.63812;0.791306845;37958.51902;5690.74244;18733.81096;38284.35443;0.699456868;0.250326889;0.654863035;1.083901849;78;156;15617.57058;8000.183624;63013.74848;0.343119052;9
C10003;4305.572068;0.176531157;28392.95334;36009.47009;2873.383232;14294.18503;0.419763528;0.523661692;0.89991235;0.207048651;72;81;15515.58621;27111.36049;;0.829074297;6
C10004;4740.988511;0.178076264;27399.00384;38246.86349;3402.853375;6936.812518;0.439666448;0.606597455;0.783128776;0.228298836;78;83;12926.58797;23919.1134;38444.21998;0.883984044;7
C10005;13820.92064;0.826913993;42214.02163;7341.007821;19273.07099;40091.34785;0.82141239;0.283579011;0.501361016;1.106350063;88;182;14404.70507;6994.688474;62041.61734;0.383186125;10
C10006;12439.06489;0.706672825;40674.22612;6156.208831;19401.47561;32438.9127;0.836764438;0.343936359;0.5278127;0.970692888;103;216;14554.91155;8814.239865;58227.56469;0.398377246;10
C10007;5751.875116;0.202635348;32509.15916;34929.99211;2951.501163;15831.7776;0.433734869;0.57211912;0.848747532;0.257982032;80;99;16427.99721;26477.35779;19768.61317;0.919281908;6
C10008;11958.85043;0.731274216;40494.41581;9571.367143;18972.549;34492.97103;0.871211256;0.068437253;0.509160856;0.968965901;72;197;14040.66521;5679.381669;52698.25158;0.372648771;10
C10009;12887.08099;0.871732408;37655.9485;7249.84719;20221.26317;38881.67834;0.884931814;0.326393597;0.5622109;1.011473741;88;217;14514.68978;8457.493288;57985.4212;0.307664717;10
C10010;4175.23925;0.234523651;27697.46442;34065.74205;4428.638371;14519.21913;0.445581502;0.62461547;0.92082587;0.268456435;78;88;14888.13154;27044.16156;30451.40382;0.881308173;6
C10011;3621.5878;0.686969675;25799.60375;30064.46193;11456.92593;12404.85341;0.109991036;0.785377698;0.267534118;1.264860659;24;291;26050.9162;45243.73632;14907.36794;0.752412498;10
